SITE_NAME,M_Result,M_Error,M_WT_Result,M_PH_Result,M_DIS_Result,M_TUR_Result,M_DS_Rain,M_Temp,N,E_std,R2,R22,PARM_INTERCIP,tSTAT_INTERCIP,PARM_WT,tSTAT_WT,PARM_PH,tSTAT_PH,PARM_DIS,tSTAT_DIS,PARM_TUR,tSTAT_TUR,PARM_DS_Rain,tSTAT_DS_Rain,PARM_AMB_TEMP,tSTAT_AMB_TEMP,LAT_DD_WGS84,LON_DD_WGS84
Avery Deer Spring,22.29411765,0,22.62117647,7.312352941,6.514705882,3.241176471,11.82352941,21.7,17,19.33126375,0.643705649,0.8,-3.318993598,0.915142103,0.332587943,0.450316573,-1.505333729,0.723001096,0.245597588,0.886781534,1.450096836,0.041960183,0.969770053,0.002620343,0.067581064,0.863224984,30.50754031,-97.74938499
Avery Springhouse Spring,17.4,-7.46E-15,23.3525,7.425,6.6295,2.2705,11.45,21,20,13.68281832,0.296278621,0.4,1.941549834,0.972160454,0.138153842,0.82453709,0.932808501,0.918576848,-0.917561756,0.423000204,-1.204665364,0.618121269,0.070787961,0.886690347,0.386670163,0.334909114,30.50367993,-97.759814
Backdoor Spring,3.627254902,1.18E-15,20.95235294,7.507647059,7.350588235,1.491176471,10.07843137,21.4,51,4.992108316,0.068800204,0.19,3.783663685,0.395882584,-0.079777728,0.210940396,-0.134715551,0.807585465,0.030118641,0.791017949,0.458372759,0.067859741,-0.029747671,0.437871998,0.019410463,0.581785858,30.25949325,-97.82370089
Barton Creek @ Hwy 71 Downstream of Little Barton,44.32106383,-2.69E-14,21.11193853,7.525106383,7.213829787,2.326595745,12.91489362,20.3,47,33.33240518,0.092638592,0.15,52.76962113,0.520897356,-0.460300508,0.655714301,-5.820297759,0.589283727,3.771582949,0.081989802,-0.561040479,0.599850186,-0.213226937,0.645095797,0.666255533,0.191116999,30.29622924,-97.92609284
Barton Creek @ Leif Johnson Pool,20.5,-2.12E-14,21.16454546,7.525,6.991818182,2.933636364,9.681818182,19.8,22,13.96378728,0.330433414,0.56,-8.888807744,0.875770022,1.252763312,0.164426484,5.251584133,0.461771124,-2.166728832,0.130475226,-1.234315792,0.043489222,-1.010160168,0.015435373,-0.399325929,0.202169031,30.29136422,-97.84924671
Barton Creek @ Ogletree Pool,17.10758621,7.78E-15,21.77662835,7.536896552,8.148965517,2.265172414,13.51724138,20,29,12.57682235,0.171031748,0.48,97.92553455,0.149989006,0.855443034,0.202122099,-11.36400396,0.166099825,0.384280943,0.754525398,-4.572318013,0.010494731,-0.870032761,0.00420267,0.02395481,0.93268035,30.3022731,-97.86854439
Barton Creek @ Recharge Pool,25.18181818,3.31E-14,22.64636364,7.679090909,9.470909091,3.457272727,9,19,11,16.57586624,0.663270115,0.96,-142.7473403,0.295310793,2.9334002,0.046584567,12.17322971,0.41141817,2.688574059,0.109018995,2.392131027,0.632534273,-0.689684047,0.329556042,-0.963066458,0.094420109,30.2677173,-97.82384212
Barton Creek @ Shield Ranch Pool,45.41428571,-6.17E-14,20.73853175,7.423571429,7.356071429,3.121428571,12,20.7,28,36.85729529,0.165701148,0.42,37.12480082,0.815112342,1.737726919,0.201695876,-8.033602916,0.718901759,5.889766293,0.06217546,-4.246551801,0.139308003,1.108875872,0.155485934,-1.388908287,0.094770081,30.26978549,-97.97350879
Barton Creek @ Stark Pool,47.648,-1.99E-15,21.216,7.4532,7.1124,1.2788,10.84,19.4,25,31.57702888,0.247648742,0.48,-23.51244586,0.823451275,0.051970629,0.971213053,-2.410988641,0.877648831,5.545878038,0.115640097,0.551380651,0.939450549,1.356167372,0.066758928,1.466298302,0.040723761,30.24492213,-98.12569449
Barton Creek Between Dams Upstream of Pool,45.08048781,1.53E-14,22.35615176,7.462439024,7.82,4.165365854,10.73170732,20.4,41,23.6735271,0.517374707,0.72,19.82856453,0.725535455,0.478426212,0.543916513,-1.382656679,0.85370901,-0.761548496,0.632301799,0.136559768,0.823544274,-1.248593651,0.001186091,1.980874483,1.68E-06,30.26363155,-97.77247219
Barton Creek Downstream of Barton Spring Pool,54.26992481,1.75E-14,21.52136174,7.323609023,8.017067669,3.139022556,12.43609023,18.5,133,32.16579551,0.243927053,0.38,99.24836465,0.070826087,-1.26669137,0.223455748,-4.87663109,0.466978955,-0.748205115,0.569907704,0.075813171,0.932156679,-1.407675679,4.91E-07,1.971213475,7.41E-08,30.26408358,-97.76867081
Barton Creek Downstream of Lost Creek Blvd,29.57906977,2.64E-15,21.33351421,7.449069767,7.434186047,2.373488372,13.69767442,21,43,19.03747602,0.39703307,0.56,84.79031116,0.048109135,1.025685462,0.103487234,-9.565331182,0.059180832,-0.525053827,0.667765468,-0.179934832,0.80672314,-0.976162216,0.000148817,0.474054752,0.140980552,30.27307365,-97.84323434
